label,x,y
P1,592.6,496
P2,592.6,453.5
P3,791.1,453.5
P4,1068,479
P5,1068,179
P6,1253,179
P7,488.3,451.5
A1,354,220.5
A1.1,354,316
A2,408,221.5
A2.1,408,316.5
A3,445,222
A3.1,445,315
A4,493,224
A4.1,493,317
A5,523.5,224
A5.1,523.5,321.5
A6,577.5,224.5
A6.1,577.5,317
A7,609,223.5
A7.1,609,315
A8,663,223
A8.1,663,315.5
L1,605,213.5
